Month,Stock,First_Close,Last_Close,Trading_Days,Monthly_Return
2023-11,BAJFINANCE,7471.9,7121.9,21,-4.684216865857413
2023-11,SBIN,566.4,564.75,21,-0.2913135593220299
2023-11,CIPLA,1201.25,1212.3,21,0.919875130072837
2023-11,NESTLEIND,2387.27,2423.61,21,1.5222408860330061
2023-11,ITC,428.1,435.8,21,1.7986451763606606
2023-12,HDFCLIFE,682.15,646.7,20,-5.19680422194531
2023-12,MARUTI,10585.7,10302.3,20,-2.677196595407025
2023-12,AXISBANK,1104.65,1102.3,20,-0.21273706603902923
2023-12,BAJAJFINSV,1685.95,1685.8,20,-0.008897061004187013
2023-12,SBILIFE,1423.65,1432.6,20,0.6286657535208666
2024-01,HDFCBANK,1698.1,1462.55,22,-13.871385666332959
2024-01,ASIANPAINT,3396.1,2957.85,22,-12.904508112246402
2024-01,HDFCLIFE,648.7,576.6,22,-11.114536765839373
2024-01,NESTLEIND,2737.24,2506.0,22,-8.447925647732745
2024-01,JSWSTEEL,877.6,818.65,22,-6.717183226982685
2024-02,HINDALCO,571.25,503.85,21,-11.798687089715532
2024-02,ITC,442.9,406.3,21,-8.263716414540522
2024-02,KOTAKBANK,1822.75,1689.45,21,-7.313125771499106
2024-02,INDUSINDBK,1541.15,1474.9,21,-4.298737955422898
2024-02,HDFCBANK,1466.35,1403.4,21,-4.29297234630203
2024-03,INFY,1654.7,1498.05,19,-9.46697286517194
2024-03,TATACONSUM,1186.26,1082.74,19,-8.726586077251191
2024-03,WIPRO,519.1,480.1,19,-7.513003274898863
2024-03,HCLTECH,1644.1,1543.55,19,-6.115808040873424
2024-03,HINDUNILVR,2409.7,2264.35,19,-6.031871187284721
2024-04,HCLTECH,1556.7,1366.6,20,-12.211729941543016
2024-04,KOTAKBANK,1790.7,1623.95,20,-9.312000893505333
2024-04,HDFCLIFE,634.75,583.65,20,-8.0504135486412
2024-04,APOLLOHOSP,6457.25,5947.1,20,-7.900422006272015
2024-04,SUNPHARMA,1629.25,1502.1,20,-7.804204388522332
2024-05,TATAMOTORS,1027.8,923.0,22,-10.196536291107215
2024-05,TITAN,3568.45,3241.9,22,-9.151031960655178
2024-05,SHRIRAMFIN,2582.1,2354.05,22,-8.83195848340497
2024-05,DRREDDY,1257.5,1158.37,22,-7.883101391650108
2024-05,ONGC,282.8,264.35,22,-6.52404526166902
2024-06,ADANIENT,3645.25,3177.15,19,-12.841368904739042
2024-06,LT,3897.15,3548.45,19,-8.947564245666712
2024-06,BPCL,333.08,303.95,19,-8.745646691485529
2024-06,COALINDIA,512.35,473.15,19,-7.6510198106763045
2024-06,ADANIPORTS,1583.95,1478.1,19,-6.682660437513818
2024-07,AXISBANK,1261.9,1166.1,22,-7.591726761233075
2024-07,BAJFINANCE,7276.75,6806.95,22,-6.456178926031542
2024-07,HDFCBANK,1705.2,1615.75,22,-5.2457189772460735
2024-07,TATASTEEL,174.07,165.33,22,-5.020968575860276
2024-07,NESTLEIND,2568.1,2456.35,22,-4.351466064405591
2024-08,MARUTI,13359.05,12403.0,21,-7.156571762213626
2024-08,ADANIPORTS,1590.15,1481.9,21,-6.807533880451529
2024-08,POWERGRID,361.1,337.4,21,-6.563278870119092
2024-08,TATASTEEL,163.06,152.76,21,-6.31669324175151
2024-08,ADANIENT,3217.25,3019.35,21,-6.151216100707129
2024-09,TATAMOTORS,1092.65,974.65,21,-10.799432572186895
2024-09,ONGC,326.2,297.6,21,-8.767627222562835
2024-09,TCS,4521.05,4268.5,21,-5.586091726479473
2024-09,INFY,1964.5,1875.6,21,-4.525324510053454
2024-09,TECHM,1646.65,1577.2,21,-4.2176540248383105
2024-10,INDUSINDBK,1409.7,1055.6,22,-25.11881960700859
2024-10,BAJAJ-AUTO,12157.45,9836.3,22,-19.09240835866075
2024-10,NESTLEIND,2707.05,2262.95,22,-16.405312055558646
2024-10,TATACONSUM,1196.25,1002.55,22,-16.192267502612335
2024-10,MARUTI,13166.0,11076.45,22,-15.870803584991638
2024-11,ADANIENT,2949.5,2228.0,14,-24.461773181895236
2024-11,ADANIPORTS,1394.4,1136.75,14,-18.477481353987383
2024-11,ASIANPAINT,2939.85,2472.2,14,-15.90727418065548
2024-11,BRITANNIA,5693.05,4848.35,14,-14.837389448538127
2024-11,NTPC,411.35,365.45,14,-11.158380940804676
