Stock,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
ADANIENT,1.0,0.8828209194009166,0.1297398085873236,0.27981960437721537,0.3070818723009845,0.20486467302304692,0.3707952810878762,0.33981939822721857,0.5191278624574339,0.272361366941602,0.4603583328632267,0.12486324680095742,0.09059503136824201,0.4950392962100841,0.17157771819877407,0.322169629808323,0.33771253470858215,0.13291368823665875,0.32507617983510695,0.2110855564736508,0.21194125500045466,0.3050511306733019,-0.009994023306185606,0.39292959245204423,0.40057972745026693,0.09247229457668364,0.24956460175898743,0.4014181093019591,0.231170949657357,0.48376961301224963,0.3059712896675553,0.31817978291439303,0.09630040933851912,0.5524042539174407,0.48758894132970676,0.4040944904040302,0.4856900187763024,0.2857722406633147,0.5505904216806069,0.42204631584038965,0.17603226615142423,0.20511776152284766,0.331481346939946,0.4271310224811417,0.09985583656990787,0.1306593956563009,0.28002188465105876,0.19694304170808868,0.3671471279637274,0.21723584075150768
ADANIPORTS,0.8828209194009166,1.0,0.16432369020452559,0.26900471532863235,0.37943941396958525,0.2105346783646343,0.4097515861543514,0.4023772466363426,0.5809140512898008,0.3101011781465372,0.5030367149451457,0.13005256225797812,0.0899902496143995,0.5453583583155601,0.17668606266390882,0.27021683535265656,0.35229669966559823,0.14706887770171334,0.37422104562804503,0.23356131913481337,0.1982209693630749,0.3322480694250253,0.003914027573748134,0.4393589243516036,0.42777887906754786,0.13838028520739523,0.2731441749733941,0.42939564778855144,0.2933552857013152,0.5173208660834981,0.31699684967861624,0.29513157988363475,0.09029417910929917,0.614574150592417,0.5280377787527815,0.5135072585583129,0.5159054166366837,0.27872032003699043,0.5791027965813103,0.4746082385506535,0.21800087144040192,0.21933582319387548,0.3387521472639438,0.4618843663256481,0.12581311424399413,0.13686097379126272,0.2943412387696406,0.20398093810298568,0.40586733082947546,0.23386993725618205
APOLLOHOSP,0.1297398085873236,0.16432369020452559,1.0,0.2502264447742072,0.16761077826401932,0.216653446124515,0.24079200112274182,0.19922368143599087,0.21473548605316836,0.21889866145601722,0.17417741874424492,0.23439745974444623,0.22017028029313104,0.24541794263073602,0.23571797138485404,0.28218334955172075,0.24814309404626736,0.27057059900676367,0.101654544800313,0.1321177257094119,0.2417413891038834,0.0588524806403706,0.1099453082331818,0.14785330451573211,0.11786893412107251,0.09953405179279769,0.17202618614597004,0.26806772129686124,0.1278606328551138,0.22073660405246728,0.2413646468322753,0.18974508019295733,0.224628428928866,0.1826016242608971,0.16716243513216544,0.1772222939619884,0.2250957456002831,0.15564165093652235,0.16981228507022567,0.2710100287722068,0.2860279571591975,0.09119015843941519,0.20405393309036074,0.2556783616355534,0.09126879874703198,0.1452534191966699,0.24394191079259442,0.07921428151290028,0.2651872727806193,0.2171245072140621
ASIANPAINT,0.27981960437721537,0.26900471532863235,0.2502264447742072,1.0,0.13810630484681544,0.1607146292899528,0.2406572327016752,0.28942245294521024,0.14602696905117954,0.1329084354009707,0.21148601928947197,0.43263030989432744,0.14686397744560759,0.18974664150901535,0.1483721661984969,0.2535759072303926,0.33550642937849373,0.12081878516324868,0.24738243003388177,0.19410995909637355,0.17353686320920875,0.21253408321519612,0.27337964481484334,0.15078865297092928,0.1838291312335772,0.09201651945133917,0.2900755196167583,0.3242685951223172,0.15679903431380368,0.2080862218257232,0.124043193444386,0.2524003181610889,0.2671496359426625,0.22149675492065632,0.12709256161850901,0.10965383350744382,0.291506888073075,0.20606566166459778,0.09532806096186378,0.21387620726941467,0.21630366265911055,0.2464639302954742,0.09850535090194437,0.28537975181045816,0.14634385468023606,0.14466090071636878,0.2898128801566486,0.23693936379364874,0.2722259392271034,0.131112185222203
AXISBANK,0.3070818723009845,0.37943941396958525,0.16761077826401932,0.13810630484681544,1.0,0.1821639443158319,0.41963746041357286,0.36630685752075204,0.32630265580132606,0.2405182485634985,0.2348557279678598,0.13419184562548112,0.07815616715423727,0.32288995554367955,0.09037942373826745,0.28859509628944163,0.3626689512766861,0.09444548708264636,0.45191144207957945,0.2504404226735744,0.16110464077402747,0.21988995380227697,0.0141614284806394,0.6491857702719098,0.34686109896326217,0.06222662734887787,0.26285525473999216,0.3590866499095825,0.30059683749096006,0.34844460153371226,0.23711834327293457,0.24887695065220886,0.1455864153249618,0.38142368324062037,0.31913702484676243,0.29523816900219213,0.4334849192114962,0.17994023792850486,0.508423512624139,0.42910440863847776,0.14810699175479805,0.14440302949116945,0.23825063626228657,0.3630857410477796,0.10547940367355862,0.1295695736290648,0.14316508716035428,0.1785857922987433,0.40327926659499513,0.1959476250616662
BAJAJ-AUTO,0.20486467302304692,0.2105346783646343,0.216653446124515,0.1607146292899528,0.1821639443158319,1.0,0.2337622813401673,0.17639884227319505,0.23227366096846247,0.2756626352063597,0.2144732687208663,0.0950178035314902,0.026498806023956045,0.22756454415349825,0.10765064038139358,0.27321439283478866,0.18572052493477254,0.12837082054643195,0.18493643876658875,0.19046639076163913,0.3927523259646744,0.224758742897233,0.13380876663276253,0.10896405271894047,0.19384165661280395,-0.01959008594985801,0.14008292518819856,0.22120809675284098,0.079766922981694,0.16436463577401725,0.2745913567054706,0.341942940856545,0.15528122795955743,0.2019579112578436,0.19128963597736173,0.1719824264975194,0.25627349611028244,0.19649264102038633,0.1421972959447857,0.28960810200274867,0.15882485082460018,0.1903302860229272,0.30016542885525854,0.2917077000728768,0.020969456973069497,0.03722062621809216,0.19137031969372495,0.22177724720785982,0.2407457766964605,0.11744982974709875
BAJAJFINSV,0.3707952810878762,0.4097515861543514,0.24079200112274182,0.2406572327016752,0.41963746041357286,0.2337622813401673,1.0,0.7391212892505367,0.35297628848859414,0.26246271196900167,0.3495158066882954,0.23363677073202435,0.14035453119442035,0.28666214567300896,0.270850145476904,0.24710828491929723,0.43996363178843867,0.27799836184665205,0.32443349297519253,0.33613876806899495,0.2290401608575712,0.2985560546297874,0.1615426758894457,0.4226755921007529,0.4199323252090004,0.24179959202373072,0.3008237012968352,0.44284959229790216,0.25928902381343827,0.40741075061253285,0.33493189332119694,0.317498031162519,0.28459567883209985,0.3959023496200001,0.31914640273363054,0.31551041699735016,0.41583481969813785,0.4152005735311482,0.4243061067129162,0.48625870279506256,0.20537712816381024,0.28684149685270205,0.2802459605327492,0.46827161526205946,0.22640838177797504,0.1857367078665075,0.2909673417647296,0.20269426353052214,0.4779542919999371,0.3152220046582632
BAJFINANCE,0.33981939822721857,0.4023772466363426,0.19922368143599087,0.28942245294521024,0.36630685752075204,0.17639884227319505,0.7391212892505367,1.0,0.30842447986725613,0.28451874004161387,0.2677036112876883,0.21223075114197118,0.04944615809726145,0.2841991104457399,0.08972627897318117,0.18254853193345189,0.3653319488265178,0.18005003195847122,0.32830491078816576,0.29693394321323663,0.15925486992352303,0.25662767287672805,0.13798641785540144,0.34071494219044,0.40772456942634244,0.1850145071337831,0.29905259356928054,0.3822030401534953,0.30570945052845494,0.37798754624059744,0.2517156829800467,0.2743873762619714,0.24998539518626992,0.324073027582716,0.32111742980318697,0.24546545149653112,0.4114936839140572,0.3417086712991058,0.39427295781605304,0.45983982990992334,0.1290154331050417,0.22468738986632789,0.21025447523599758,0.3856340016790019,0.1653059697592395,0.14806928749802792,0.23802161814163977,0.23065729088421996,0.4446051379555671,0.23435990733742224
BEL,0.5191278624574339,0.5809140512898008,0.21473548605316836,0.14602696905117954,0.32630265580132606,0.23227366096846247,0.35297628848859414,0.30842447986725613,1.0,0.3012746672546309,0.5092250792142589,0.06909068607800407,0.07717630417892594,0.619787469267455,0.137295555519055,0.278777340578311,0.33409323191787255,0.2155768369594636,0.3273658151151542,0.23841581437993642,0.08181254625503,0.371556759303925,-0.06364652745434793,0.306355120655395,0.31677675655435017,0.14978251403805212,0.22341993306630162,0.45247487591397706,0.25848632349767153,0.5933357083888607,0.36622718771782337,0.21549715415435688,0.060399759637194184,0.6120331963578772,0.5763062283600947,0.5434175658418805,0.4957290070407343,0.20497910767149116,0.5757216920128632,0.47163887094757306,0.16573001691555292,0.1737372883956756,0.3683149386940777,0.5179502049697191,0.11854940748608389,0.21133629478003144,0.15425004891899793,0.26700389343915754,0.44520790264030996,0.25371282514585225
BHARTIARTL,0.272361366941602,0.3101011781465372,0.21889866145601722,0.1329084354009707,0.2405182485634985,0.2756626352063597,0.26246271196900167,0.28451874004161387,0.3012746672546309,1.0,0.264345083799381,0.1188294064385168,0.10993035304154426,0.25578104973208665,0.17873792270067057,0.28475872841984795,0.2873395126405348,0.2592188278566441,0.1946789144193491,0.20689147850735506,0.18579616658132828,0.29248033391714207,0.15870112148727966,0.3507693919865064,0.23406489964316513,0.2740190017303317,0.26326928026175644,0.3612374329649645,0.3037382927388365,0.31858061810145294,0.2812063753155073,0.3497672077620299,0.09870119615891905,0.36609187828041523,0.3407923994849829,0.3132016138486968,0.35391969169429843,0.23518201423593074,0.2850453942045715,0.3524415502317674,0.25990654540613684,0.2502107819510715,0.26292912759769055,0.30945824630908964,0.17881853510051499,0.254081551722038,0.27968411294010287,0.26115608120855033,0.3561888579415615,0.24833223515647093
