Symbol,First_Date,First_Open,First_Close,Last_Date,Last_Open,Last_Close,Stock_Return_%
TRENT,2023-11-01 05:30:00,2163.7,2197.65,2024-11-22 05:30:00,6459.9,6652.8,202.72
BEL,2023-11-01 05:30:00,133.75,132.4,2024-11-22 05:30:00,276.0,280.85,112.12
M&M,2023-11-01 05:30:00,1464.9,1454.6,2024-11-22 05:30:00,2944.0,3012.95,107.13
BAJAJ-AUTO,2023-11-01 05:30:00,5305.0,5344.35,2024-11-22 05:30:00,9545.0,9481.65,77.41
BHARTIARTL,2023-11-01 05:30:00,903.0,913.45,2024-11-22 05:30:00,1533.0,1569.3,71.8
POWERGRID,2023-11-01 05:30:00,202.35,200.95,2024-11-22 05:30:00,325.8,336.95,67.68
SUNPHARMA,2023-11-01 05:30:00,1092.0,1116.2,2024-11-22 05:30:00,1785.0,1795.3,60.84
BPCL,2023-11-01 05:30:00,175.28,178.45,2024-11-22 05:30:00,282.6,285.85,60.18
NTPC,2023-11-01 05:30:00,236.7,232.6,2024-11-22 05:30:00,357.05,365.45,57.12
TECHM,2023-11-01 05:30:00,1130.95,1125.1,2024-11-22 05:30:00,1714.75,1747.45,55.32
HEROMOTOCO,2023-11-01 05:30:00,3095.95,3092.45,2024-11-22 05:30:00,4778.4,4794.1,55.03
EICHERMOT,2023-11-01 05:30:00,3309.8,3282.25,2024-11-22 05:30:00,4913.0,4986.2,51.91
HCLTECH,2023-11-01 05:30:00,1280.0,1258.95,2024-11-22 05:30:00,1846.35,1898.4,50.79
WIPRO,2023-11-01 05:30:00,383.85,380.95,2024-11-22 05:30:00,561.95,571.65,50.06
SHRIRAMFIN,2023-11-01 05:30:00,1884.0,1902.25,2024-11-22 05:30:00,2750.0,2850.05,49.83
ADANIPORTS,2023-11-01 05:30:00,784.75,769.1,2024-11-22 05:30:00,1072.6,1136.75,47.8
APOLLOHOSP,2023-11-01 05:30:00,4835.0,4796.55,2024-11-22 05:30:00,6751.6,6935.1,44.59
SBIN,2023-11-01 05:30:00,566.25,566.4,2024-11-22 05:30:00,786.0,816.05,44.08
HINDALCO,2023-11-01 05:30:00,458.5,462.7,2024-11-22 05:30:00,652.95,652.1,40.93
INFY,2023-11-01 05:30:00,1373.05,1354.15,2024-11-22 05:30:00,1854.1,1902.25,40.48
ICICIBANK,2023-11-01 05:30:00,913.8,914.05,2024-11-22 05:30:00,1258.0,1278.05,39.82
GRASIM,2023-11-01 05:30:00,1886.5,1861.15,2024-11-22 05:30:00,2540.4,2598.65,39.63
ULTRACEMCO,2023-11-01 05:30:00,8440.0,8381.45,2024-11-22 05:30:00,10999.0,11375.3,35.72
COALINDIA,2023-11-01 05:30:00,313.2,306.65,2024-11-22 05:30:00,407.4,414.05,35.02
