Stock,Close,Date,High,Low,Month,Open,Volume,Daily_Return
ADANIENT,2217.3,2023-11-01 05:30:00,2312.25,2207.0,2023-11,2299.0,1666579,
ADANIPORTS,769.1,2023-11-01 05:30:00,790.5,767.2,2023-11,784.75,2693768,
APOLLOHOSP,4796.55,2023-11-01 05:30:00,4856.0,4790.0,2023-11,4835.0,281746,
ASIANPAINT,2934.55,2023-11-01 05:30:00,3008.9,2930.0,2023-11,2997.95,1029990,
AXISBANK,971.8,2023-11-01 05:30:00,979.3,968.0,2023-11,977.85,5703984,
BAJAJ-AUTO,5344.35,2023-11-01 05:30:00,5449.5,5305.0,2023-11,5305.0,619765,
BAJAJFINSV,1572.85,2023-11-01 05:30:00,1580.0,1565.0,2023-11,1574.9,770557,
BAJFINANCE,7471.9,2023-11-01 05:30:00,7549.0,7457.65,2023-11,7520.0,462778,
BEL,132.4,2023-11-01 05:30:00,134.55,132.05,2023-11,133.75,10431945,
BHARTIARTL,913.45,2023-11-01 05:30:00,914.55,895.45,2023-11,903.0,4821458,
BPCL,178.45,2023-11-01 05:30:00,179.38,175.28,2023-11,175.28,13929780,
BRITANNIA,4397.3,2023-11-01 05:30:00,4456.0,4347.7,2023-11,4442.6,395359,
CIPLA,1201.25,2023-11-01 05:30:00,1208.7,1186.55,2023-11,1200.0,1051902,
COALINDIA,306.65,2023-11-01 05:30:00,315.8,305.85,2023-11,313.2,9593653,
DRREDDY,1069.29,2023-11-01 05:30:00,1084.08,1062.9,2023-11,1077.0,1376665,
EICHERMOT,3282.25,2023-11-01 05:30:00,3315.1,3275.0,2023-11,3309.8,325630,
GRASIM,1861.15,2023-11-01 05:30:00,1889.49,1854.03,2023-11,1886.5,346246,
HCLTECH,1258.95,2023-11-01 05:30:00,1285.95,1255.3,2023-11,1280.0,1572719,
HDFCBANK,1474.5,2023-11-01 05:30:00,1477.45,1462.25,2023-11,1462.25,16938733,
HDFCLIFE,620.05,2023-11-01 05:30:00,623.95,616.9,2023-11,621.8,1947740,
HEROMOTOCO,3092.45,2023-11-01 05:30:00,3144.65,3075.55,2023-11,3095.95,473455,
HINDALCO,462.7,2023-11-01 05:30:00,466.0,456.0,2023-11,458.5,4931538,
HINDUNILVR,2472.25,2023-11-01 05:30:00,2493.95,2466.8,2023-11,2485.0,1267131,
ICICIBANK,914.05,2023-11-01 05:30:00,917.6,909.3,2023-11,913.8,12927203,
INDUSINDBK,1432.6,2023-11-01 05:30:00,1445.6,1427.15,2023-11,1443.9,2658439,
