Stock,Sector
ADANIENT,Conglomerate
ADANIPORTS,Infrastructure
APOLLOHOSP,Healthcare
ASIANPAINT,Consumer Goods
AXISBANK,Financial Services
BAJAJ-AUTO,Automobile
BAJAJFINSV,Financial Services
BAJFINANCE,Financial Services
BEL,Defence
BHARTIARTL,Telecommunication
BPCL,Energy
BRITANNIA,Consumer Goods
CIPLA,Pharmaceuticals
COALINDIA,Mining
DRREDDY,Pharmaceuticals
EICHERMOT,Automobile
GRASIM,Cement
HCLTECH,Information Technology
HDFCBANK,Financial Services
HDFCLIFE,Insurance
HEROMOTOCO,Automobile
HINDALCO,Metals
HINDUNILVR,FMCG
ICICIBANK,Financial Services
INDUSINDBK,Financial Services
INFY,Information Technology
ITC,FMCG
JSWSTEEL,Metals
KOTAKBANK,Financial Services
LT,Infrastructure
M&M,Automobile
MARUTI,Automobile
NESTLEIND,FMCG
NTPC,Energy
ONGC,Energy
POWERGRID,Power
RELIANCE,Energy
SBILIFE,Insurance
SBIN,Financial Services
SHRIRAMFIN,Financial Services
SUNPHARMA,Pharmaceuticals
TATACONSUM,Consumer Goods
TATAMOTORS,Automobile
TATASTEEL,Metals
TCS,Information Technology
TECHM,Information Technology
TITAN,Consumer Goods
TRENT,Retail
ULTRACEMCO,Cement
WIPRO,Information Technology
