Date,Stock,Cumulative_Return_%
2023-11-01 05:30:00,BAJAJ-AUTO,0.0
2023-11-01 05:30:00,BEL,0.0
2023-11-01 05:30:00,BHARTIARTL,0.0
2023-11-01 05:30:00,M&M,0.0
2023-11-01 05:30:00,TRENT,0.0
2023-11-02 05:30:00,BAJAJ-AUTO,-0.49
2023-11-02 05:30:00,BEL,1.77
2023-11-02 05:30:00,BHARTIARTL,1.14
2023-11-02 05:30:00,M&M,1.04
2023-11-02 05:30:00,TRENT,-0.35
2023-11-03 05:30:00,BAJAJ-AUTO,0.46
2023-11-03 05:30:00,BEL,2.68
2023-11-03 05:30:00,BHARTIARTL,1.89
2023-11-03 05:30:00,M&M,0.99
2023-11-03 05:30:00,TRENT,-0.05
2023-11-06 05:30:00,BAJAJ-AUTO,1.17
2023-11-06 05:30:00,BEL,3.97
2023-11-06 05:30:00,BHARTIARTL,2.82
2023-11-06 05:30:00,M&M,2.32
2023-11-06 05:30:00,TRENT,1.62
2023-11-07 05:30:00,BAJAJ-AUTO,1.4
2023-11-07 05:30:00,BEL,4.27
2023-11-07 05:30:00,BHARTIARTL,2.59
2023-11-07 05:30:00,M&M,1.73
2023-11-07 05:30:00,TRENT,10.3
2023-11-08 05:30:00,BAJAJ-AUTO,1.0
2023-11-08 05:30:00,BEL,6.04
2023-11-08 05:30:00,BHARTIARTL,2.55
2023-11-08 05:30:00,M&M,2.25
2023-11-08 05:30:00,TRENT,11.61
2023-11-09 05:30:00,BAJAJ-AUTO,1.39
2023-11-09 05:30:00,BEL,4.19
2023-11-09 05:30:00,BHARTIARTL,2.07
2023-11-09 05:30:00,M&M,6.7
2023-11-09 05:30:00,TRENT,12.76
2023-11-10 05:30:00,BAJAJ-AUTO,0.89
2023-11-10 05:30:00,BEL,4.83
2023-11-10 05:30:00,BHARTIARTL,2.41
2023-11-10 05:30:00,M&M,4.78
2023-11-10 05:30:00,TRENT,13.27
2023-11-12 05:30:00,BAJAJ-AUTO,1.84
2023-11-12 05:30:00,BEL,5.44
2023-11-12 05:30:00,BHARTIARTL,2.69
2023-11-12 05:30:00,M&M,4.93
2023-11-12 05:30:00,TRENT,13.5
2023-11-13 05:30:00,BAJAJ-AUTO,1.51
2023-11-13 05:30:00,BEL,8.31
2023-11-13 05:30:00,BHARTIARTL,2.36
2023-11-13 05:30:00,M&M,5.89
2023-11-13 05:30:00,TRENT,16.44
2023-11-15 05:30:00,BAJAJ-AUTO,3.6
2023-11-15 05:30:00,BEL,8.04
2023-11-15 05:30:00,BHARTIARTL,4.0
2023-11-15 05:30:00,M&M,6.16
2023-11-15 05:30:00,TRENT,16.18
2023-11-16 05:30:00,BAJAJ-AUTO,3.86
2023-11-16 05:30:00,BEL,7.7
2023-11-16 05:30:00,BHARTIARTL,3.95
2023-11-16 05:30:00,M&M,7.9
2023-11-16 05:30:00,TRENT,15.79
2023-11-17 05:30:00,BAJAJ-AUTO,5.37
2023-11-17 05:30:00,BEL,10.35
2023-11-17 05:30:00,BHARTIARTL,3.71
2023-11-17 05:30:00,M&M,8.93
2023-11-17 05:30:00,TRENT,17.23
2023-11-20 05:30:00,BAJAJ-AUTO,5.72
2023-11-20 05:30:00,BEL,8.65
2023-11-20 05:30:00,BHARTIARTL,5.25
2023-11-20 05:30:00,M&M,6.71
2023-11-20 05:30:00,TRENT,19.34
2023-11-21 05:30:00,BAJAJ-AUTO,6.39
2023-11-21 05:30:00,BEL,7.89
2023-11-21 05:30:00,BHARTIARTL,6.28
2023-11-21 05:30:00,M&M,7.23
2023-11-21 05:30:00,TRENT,18.93
2023-11-22 05:30:00,BAJAJ-AUTO,7.62
2023-11-22 05:30:00,BEL,7.14
2023-11-22 05:30:00,BHARTIARTL,6.16
2023-11-22 05:30:00,M&M,6.11
2023-11-22 05:30:00,TRENT,19.54
2023-11-23 05:30:00,BAJAJ-AUTO,10.87
2023-11-23 05:30:00,BEL,5.25
2023-11-23 05:30:00,BHARTIARTL,6.92
2023-11-23 05:30:00,M&M,6.27
2023-11-23 05:30:00,TRENT,20.81
2023-11-24 05:30:00,BAJAJ-AUTO,10.96
2023-11-24 05:30:00,BEL,6.0
2023-11-24 05:30:00,BHARTIARTL,6.54
2023-11-24 05:30:00,M&M,6.78
2023-11-24 05:30:00,TRENT,20.57
2023-11-28 05:30:00,BAJAJ-AUTO,12.23
2023-11-28 05:30:00,BEL,6.72
2023-11-28 05:30:00,BHARTIARTL,7.82
2023-11-28 05:30:00,M&M,7.66
2023-11-28 05:30:00,TRENT,21.57
2023-11-29 05:30:00,BAJAJ-AUTO,13.58
2023-11-29 05:30:00,BEL,6.5
2023-11-29 05:30:00,BHARTIARTL,8.97
2023-11-29 05:30:00,M&M,11.31
2023-11-29 05:30:00,TRENT,21.78
2023-11-30 05:30:00,BAJAJ-AUTO,13.96
2023-11-30 05:30:00,BEL,10.2
2023-11-30 05:30:00,BHARTIARTL,11.08
2023-11-30 05:30:00,M&M,13.28
2023-11-30 05:30:00,TRENT,26.82
2023-12-01 05:30:00,BAJAJ-AUTO,13.13
2023-12-01 05:30:00,BEL,11.37
2023-12-01 05:30:00,BHARTIARTL,11.08
2023-12-01 05:30:00,M&M,11.75
2023-12-01 05:30:00,TRENT,27.76
2023-12-04 05:30:00,BAJAJ-AUTO,16.04
2023-12-04 05:30:00,BEL,15.97
2023-12-04 05:30:00,BHARTIARTL,13.08
2023-12-04 05:30:00,M&M,13.9
2023-12-04 05:30:00,TRENT,28.18
2023-12-05 05:30:00,BAJAJ-AUTO,14.89
2023-12-05 05:30:00,BEL,14.8
2023-12-05 05:30:00,BHARTIARTL,12.88
2023-12-05 05:30:00,M&M,15.91
2023-12-05 05:30:00,TRENT,30.81
2023-12-06 05:30:00,BAJAJ-AUTO,13.58
2023-12-06 05:30:00,BEL,17.94
2023-12-06 05:30:00,BHARTIARTL,12.15
2023-12-06 05:30:00,M&M,17.04
2023-12-06 05:30:00,TRENT,30.5
2023-12-07 05:30:00,BAJAJ-AUTO,14.02
2023-12-07 05:30:00,BEL,21.11
2023-12-07 05:30:00,BHARTIARTL,9.48
2023-12-07 05:30:00,M&M,16.37
2023-12-07 05:30:00,TRENT,29.47
2023-12-08 05:30:00,BAJAJ-AUTO,13.68
2023-12-08 05:30:00,BEL,19.9
2023-12-08 05:30:00,BHARTIARTL,9.5
2023-12-08 05:30:00,M&M,14.71
2023-12-08 05:30:00,TRENT,29.29
2023-12-11 05:30:00,BAJAJ-AUTO,14.86
2023-12-11 05:30:00,BEL,21.79
2023-12-11 05:30:00,BHARTIARTL,9.57
2023-12-11 05:30:00,M&M,13.58
2023-12-11 05:30:00,TRENT,31.11
2023-12-12 05:30:00,BAJAJ-AUTO,17.02
2023-12-12 05:30:00,BEL,21.45
2023-12-12 05:30:00,BHARTIARTL,8.96
2023-12-12 05:30:00,M&M,12.43
2023-12-12 05:30:00,TRENT,31.21
2023-12-13 05:30:00,BAJAJ-AUTO,18.18
2023-12-13 05:30:00,BEL,23.0
2023-12-13 05:30:00,BHARTIARTL,9.46
2023-12-13 05:30:00,M&M,14.54
2023-12-13 05:30:00,TRENT,34.85
2023-12-14 05:30:00,BAJAJ-AUTO,18.53
2023-12-14 05:30:00,BEL,23.87
2023-12-14 05:30:00,BHARTIARTL,10.04
2023-12-14 05:30:00,M&M,17.11
2023-12-14 05:30:00,TRENT,35.82
2023-12-15 05:30:00,BAJAJ-AUTO,17.42
2023-12-15 05:30:00,BEL,27.68
2023-12-15 05:30:00,BHARTIARTL,8.66
2023-12-15 05:30:00,M&M,18.59
2023-12-15 05:30:00,TRENT,36.04
2023-12-18 05:30:00,BAJAJ-AUTO,20.98
2023-12-18 05:30:00,BEL,30.44
2023-12-18 05:30:00,BHARTIARTL,8.41
2023-12-18 05:30:00,M&M,17.61
2023-12-18 05:30:00,TRENT,35.21
2023-12-19 05:30:00,BAJAJ-AUTO,20.11
2023-12-19 05:30:00,BEL,30.7
2023-12-19 05:30:00,BHARTIARTL,8.21
2023-12-19 05:30:00,M&M,16.83
2023-12-19 05:30:00,TRENT,36.55
2023-12-20 05:30:00,BAJAJ-AUTO,19.09
2023-12-20 05:30:00,BEL,26.32
2023-12-20 05:30:00,BHARTIARTL,6.36
2023-12-20 05:30:00,M&M,13.22
2023-12-20 05:30:00,TRENT,34.19
2023-12-21 05:30:00,BAJAJ-AUTO,16.88
2023-12-21 05:30:00,BEL,28.89
2023-12-21 05:30:00,BHARTIARTL,7.06
2023-12-21 05:30:00,M&M,12.32
2023-12-21 05:30:00,TRENT,34.47
2023-12-22 05:30:00,BAJAJ-AUTO,19.23
2023-12-22 05:30:00,BEL,32.02
2023-12-22 05:30:00,BHARTIARTL,8.33
2023-12-22 05:30:00,M&M,12.35
2023-12-22 05:30:00,TRENT,34.94
2023-12-26 05:30:00,BAJAJ-AUTO,20.96
2023-12-26 05:30:00,BEL,37.42
2023-12-26 05:30:00,BHARTIARTL,9.46
2023-12-26 05:30:00,M&M,14.28
2023-12-26 05:30:00,TRENT,35.14
2023-12-27 05:30:00,BAJAJ-AUTO,25.55
2023-12-27 05:30:00,BEL,36.1
2023-12-27 05:30:00,BHARTIARTL,11.8
2023-12-27 05:30:00,M&M,16.04
2023-12-27 05:30:00,TRENT,37.0
2023-12-28 05:30:00,BAJAJ-AUTO,25.43
2023-12-28 05:30:00,BEL,37.99
2023-12-28 05:30:00,BHARTIARTL,13.49
2023-12-28 05:30:00,M&M,19.24
2023-12-28 05:30:00,TRENT,37.69
2023-12-29 05:30:00,BAJAJ-AUTO,27.19
2023-12-29 05:30:00,BEL,39.12
2023-12-29 05:30:00,BHARTIARTL,13.0
2023-12-29 05:30:00,M&M,18.89
2023-12-29 05:30:00,TRENT,39.01
2024-01-01 05:30:00,BAJAJ-AUTO,25.39
2024-01-01 05:30:00,BEL,39.69
2024-01-01 05:30:00,BHARTIARTL,10.9
2024-01-01 05:30:00,M&M,17.1
2024-01-01 05:30:00,TRENT,36.61
2024-01-02 05:30:00,BAJAJ-AUTO,24.71
2024-01-02 05:30:00,BEL,37.58
2024-01-02 05:30:00,BHARTIARTL,11.85
2024-01-02 05:30:00,M&M,13.86
2024-01-02 05:30:00,TRENT,36.29
2024-01-03 05:30:00,BAJAJ-AUTO,30.73
2024-01-03 05:30:00,BEL,37.73
2024-01-03 05:30:00,BHARTIARTL,13.33
2024-01-03 05:30:00,M&M,13.79
2024-01-03 05:30:00,TRENT,39.16
2024-01-04 05:30:00,BAJAJ-AUTO,29.52
2024-01-04 05:30:00,BEL,41.16
2024-01-04 05:30:00,BHARTIARTL,14.72
2024-01-04 05:30:00,M&M,12.86
2024-01-04 05:30:00,TRENT,39.6
2024-01-05 05:30:00,BAJAJ-AUTO,30.58
2024-01-05 05:30:00,BEL,40.45
2024-01-05 05:30:00,BHARTIARTL,14.58
2024-01-05 05:30:00,M&M,12.88
2024-01-05 05:30:00,TRENT,39.49
2024-01-08 05:30:00,BAJAJ-AUTO,30.68
2024-01-08 05:30:00,BEL,38.67
2024-01-08 05:30:00,BHARTIARTL,14.84
2024-01-08 05:30:00,M&M,11.11
2024-01-08 05:30:00,TRENT,38.54
2024-01-09 05:30:00,BAJAJ-AUTO,32.74
2024-01-09 05:30:00,BEL,39.46
2024-01-09 05:30:00,BHARTIARTL,16.54
2024-01-09 05:30:00,M&M,12.05
2024-01-09 05:30:00,TRENT,41.76
2024-01-10 05:30:00,BAJAJ-AUTO,31.99
2024-01-10 05:30:00,BEL,40.18
2024-01-10 05:30:00,BHARTIARTL,16.34
2024-01-10 05:30:00,M&M,12.25
2024-01-10 05:30:00,TRENT,44.41
2024-01-11 05:30:00,BAJAJ-AUTO,36.57
2024-01-11 05:30:00,BEL,39.24
2024-01-11 05:30:00,BHARTIARTL,16.36
2024-01-11 05:30:00,M&M,11.97
2024-01-11 05:30:00,TRENT,44.51
2024-01-12 05:30:00,BAJAJ-AUTO,36.63
2024-01-12 05:30:00,BEL,38.6
2024-01-12 05:30:00,BHARTIARTL,17.83
2024-01-12 05:30:00,M&M,11.68
2024-01-12 05:30:00,TRENT,46.16
2024-01-15 05:30:00,BAJAJ-AUTO,37.19
2024-01-15 05:30:00,BEL,42.48
2024-01-15 05:30:00,BHARTIARTL,20.69
2024-01-15 05:30:00,M&M,12.44
2024-01-15 05:30:00,TRENT,45.31
2024-01-16 05:30:00,BAJAJ-AUTO,36.48
2024-01-16 05:30:00,BEL,41.09
2024-01-16 05:30:00,BHARTIARTL,19.97
2024-01-16 05:30:00,M&M,11.39
2024-01-16 05:30:00,TRENT,44.07
2024-01-17 05:30:00,BAJAJ-AUTO,34.08
2024-01-17 05:30:00,BEL,40.22
2024-01-17 05:30:00,BHARTIARTL,18.81
2024-01-17 05:30:00,M&M,9.84
2024-01-17 05:30:00,TRENT,43.24
2024-01-18 05:30:00,BAJAJ-AUTO,32.54
2024-01-18 05:30:00,BEL,42.15
2024-01-18 05:30:00,BHARTIARTL,19.0
2024-01-18 05:30:00,M&M,11.18
2024-01-18 05:30:00,TRENT,43.41
