Symbol,Standard
ADANIENT,0.029218
ADANIPORTS,0.026583
BEL,0.023817
TRENT,0.023491
ONGC,0.02292
BPCL,0.022545
COALINDIA,0.021675
SHRIRAMFIN,0.021491
HINDALCO,0.020056
NTPC,0.019898
M&M,0.019533
INDUSINDBK,0.019416
POWERGRID,0.019216
TATASTEEL,0.018581
SBIN,0.01826
TATAMOTORS,0.017943
WIPRO,0.017751
BAJAJ-AUTO,0.01755
LT,0.017325
JSWSTEEL,0.016595
HEROMOTOCO,0.016588
CIPLA,0.016533
EICHERMOT,0.016439
TECHM,0.016298
BAJFINANCE,0.01595
AXISBANK,0.015557
SBILIFE,0.015199
TATACONSUM,0.015109
HDFCLIFE,0.014805
INFY,0.014641
GRASIM,0.014558
ULTRACEMCO,0.014443
HCLTECH,0.014423
KOTAKBANK,0.014412
APOLLOHOSP,0.014379
TITAN,0.01425
MARUTI,0.013889
BAJAJFINSV,0.013871
BHARTIARTL,0.013821
RELIANCE,0.013804
HDFCBANK,0.013752
BRITANNIA,0.013445
TCS,0.01331
ICICIBANK,0.013061
ASIANPAINT,0.01282
DRREDDY,0.012642
HINDUNILVR,0.012348
NESTLEIND,0.012229
ITC,0.012151
SUNPHARMA,0.011718
